NAFO_ID,NAFOSubArea,NAFODivision,NAFOSubDivision,NAFOLabel,NAFO_PointOrder,NAFO_Latitude,NAFO_Longitude
0,0,0-B, ,0-B,1,66.25,-57.630667
1,0,0-B, ,0-B,2,66.238,-57.631603
2,0,0-B, ,0-B,3,66.226,-57.632538
3,0,0-B, ,0-B,4,66.214,-57.633472
4,0,0-B, ,0-B,5,66.196698,-57.636166
5,0,0-B, ,0-B,6,66.179396,-57.638856
6,0,0-B, ,0-B,7,66.162093,-57.641542
7,0,0-B, ,0-B,8,66.144791,-57.644225
8,0,0-B, ,0-B,9,66.127489,-57.646904
9,0,0-B, ,0-B,10,66.110186,-57.649579
10,0,0-B, ,0-B,11,66.092883,-57.652251
11,0,0-B, ,0-B,12,66.075581,-57.654919
12,0,0-B, ,0-B,13,66.058278,-57.657583
13,0,0-B, ,0-B,14,66.041945,-57.658898
14,0,0-B, ,0-B,15,66.025611,-57.66021
15,0,0-B, ,0-B,16,66.009278,-57.661521
16,0,0-B, ,0-B,17,65.992945,-57.662831
17,0,0-B, ,0-B,18,65.976611,-57.664138
18,0,0-B, ,0-B,19,65.960278,-57.665444
19,0,0-B, ,0-B,20,65.958333,-57.665444
20,0,0-B, ,0-B,21,65.942357,-57.666875
21,0,0-B, ,0-B,22,65.92638,-57.668303
22,0,0-B, ,0-B,23,65.910403,-57.66973
23,0,0-B, ,0-B,24,65.894426,-57.671155
24,0,0-B, ,0-B,25,65.878449,-57.672579
25,0,0-B, ,0-B,26,65.862472,-57.674
26,0,0-B, ,0-B,27,65.846833,-57.674278
27,0,0-B, ,0-B,28,65.829883,-57.675943
28,0,0-B, ,0-B,29,65.812932,-57.677605
29,0,0-B, ,0-B,30,65.795982,-57.679265
30,0,0-B, ,0-B,31,65.779031,-57.680924
31,0,0-B, ,0-B,32,65.76208,-57.68258
32,0,0-B, ,0-B,33,65.745129,-57.684234
33,0,0-B, ,0-B,34,65.728179,-57.685885
34,0,0-B, ,0-B,35,65.711228,-57.687535
35,0,0-B, ,0-B,36,65.694277,-57.689182
36,0,0-B, ,0-B,37,65.677326,-57.690827
37,0,0-B, ,0-B,38,65.660375,-57.69247
38,0,0-B, ,0-B,39,65.643423,-57.694111
39,0,0-B, ,0-B,40,65.626472,-57.69575
40,0,0-B, ,0-B,41,65.610676,-57.698151
41,0,0-B, ,0-B,42,65.59488,-57.700549
42,0,0-B, ,0-B,43,65.579083,-57.702944
43,0,0-B, ,0-B,44,65.561781,-57.706994
44,0,0-B, ,0-B,45,65.544479,-57.711038
45,0,0-B, ,0-B,46,65.527176,-57.715077
46,0,0-B, ,0-B,47,65.509873,-57.71911
47,0,0-B, ,0-B,48,65.49257,-57.723138
48,0,0-B, ,0-B,49,65.475267,-57.727161
49,0,0-B, ,0-B,50,65.457964,-57.731178
50,0,0-B, ,0-B,51,65.440661,-57.73519
51,0,0-B, ,0-B,52,65.423357,-57.739197
52,0,0-B, ,0-B,53,65.406054,-57.743198
53,0,0-B, ,0-B,54,65.38875,-57.747194
54,0,0-B, ,0-B,55,65.371278,-57.750085
55,0,0-B, ,0-B,56,65.353806,-57.752973
56,0,0-B, ,0-B,57,65.336334,-57.755856
57,0,0-B, ,0-B,58,65.318861,-57.758735
58,0,0-B, ,0-B,59,65.301389,-57.761611
59,0,0-B, ,0-B,60,65.286549,-57.758669
60,0,0-B, ,0-B,61,65.271709,-57.75573
61,0,0-B, ,0-B,62,65.256868,-57.752794
62,0,0-B, ,0-B,63,65.242028,-57.749861
63,0,0-B, ,0-B,64,65.225213,-57.745569
64,0,0-B, ,0-B,65,65.208398,-57.741282
65,0,0-B, ,0-B,66,65.191583,-57.737
66,0,0-B, ,0-B,67,65.176556,-57.734034
67,0,0-B, ,0-B,68,65.161528,-57.731071
68,0,0-B, ,0-B,69,65.1465,-57.728111
69,0,0-B, ,0-B,70,65.131232,-57.729585
70,0,0-B, ,0-B,71,65.115963,-57.731057
71,0,0-B, ,0-B,72,65.100694,-57.732528
72,0,0-B, ,0-B,73,65.083056,-57.733924
73,0,0-B, ,0-B,74,65.065417,-57.735318
74,0,0-B, ,0-B,75,65.047778,-57.73671
75,0,0-B, ,0-B,76,65.03014,-57.7381
76,0,0-B, ,0-B,77,65.012501,-57.739489
77,0,0-B, ,0-B,78,64.994862,-57.740876
78,0,0-B, ,0-B,79,64.977223,-57.742261
79,0,0-B, ,0-B,80,64.959584,-57.743644
80,0,0-B, ,0-B,81,64.941945,-57.745025
81,0,0-B, ,0-B,82,64.924306,-57.746404
82,0,0-B, ,0-B,83,64.906667,-57.747782
83,0,0-B, ,0-B,84,64.889028,-57.749158
84,0,0-B, ,0-B,85,64.871388,-57.750532
85,0,0-B, ,0-B,86,64.853749,-57.751904
86,0,0-B, ,0-B,87,64.83611,-57.753275
87,0,0-B, ,0-B,88,64.81847,-57.754643
88,0,0-B, ,0-B,89,64.800831,-57.75601
89,0,0-B, ,0-B,90,64.783191,-57.757375
90,0,0-B, ,0-B,91,64.765552,-57.758738
91,0,0-B, ,0-B,92,64.747912,-57.7601
92,0,0-B, ,0-B,93,64.730272,-57.76146
93,0,0-B, ,0-B,94,64.712632,-57.762818
94,0,0-B, ,0-B,95,64.694993,-57.764174
95,0,0-B, ,0-B,96,64.677353,-57.765528
