UnitArea_ID,NAFODivision,PointOrder,UnitArea,UnitArea_Latitude,UnitArea_Longitude,UnitAreaLabel
0,2G,1,2GA,60.5,-62,GA
1,2G,2,2GA,59.5,-62,GA
2,2G,3,2GA,59.5,-62.05390625,GA
3,2G,4,2GA,59.5,-62.1078125,GA
4,2G,5,2GA,59.5,-62.16171875,GA
5,2G,6,2GA,59.5,-62.215625,GA
6,2G,7,2GA,59.5,-62.26953125,GA
7,2G,8,2GA,59.5,-62.3234375,GA
8,2G,9,2GA,59.5,-62.37734375,GA
9,2G,10,2GA,59.5,-62.43125,GA
10,2G,11,2GA,59.5,-62.48515625,GA
11,2G,12,2GA,59.5,-62.5390625,GA
12,2G,13,2GA,59.5,-62.59296875,GA
13,2G,14,2GA,59.5,-62.646875,GA
14,2G,15,2GA,59.5,-62.70078125,GA
15,2G,16,2GA,59.5,-62.7546875,GA
16,2G,17,2GA,59.5,-62.80859375,GA
17,2G,18,2GA,59.5,-62.8625,GA
18,2G,19,2GA,59.5,-62.91640625,GA
19,2G,20,2GA,59.5,-62.9703125,GA
20,2G,21,2GA,59.5,-63.02421875,GA
21,2G,22,2GA,59.5,-63.078125,GA
22,2G,23,2GA,59.5,-63.13203125,GA
23,2G,24,2GA,59.5,-63.1859375,GA
24,2G,25,2GA,59.5,-63.23984375,GA
25,2G,26,2GA,59.5,-63.29375,GA
26,2G,27,2GA,59.5,-63.34765625,GA
27,2G,28,2GA,59.5,-63.38424699,GA
28,2G,29,2GA,60.5,-64.35140714,GA
29,2G,30,2GA,60.5,-64.34375,GA
30,2G,31,2GA,60.5,-64.265625,GA
31,2G,32,2GA,60.5,-64.1875,GA
32,2G,33,2GA,60.5,-64.109375,GA
33,2G,34,2GA,60.5,-64.03125,GA
34,2G,35,2GA,60.5,-63.953125,GA
35,2G,36,2GA,60.5,-63.875,GA
36,2G,37,2GA,60.5,-63.796875,GA
37,2G,38,2GA,60.5,-63.71875,GA
38,2G,39,2GA,60.5,-63.640625,GA
39,2G,40,2GA,60.5,-63.5625,GA
40,2G,41,2GA,60.5,-63.484375,GA
41,2G,42,2GA,60.5,-63.40625,GA
42,2G,43,2GA,60.5,-63.328125,GA
43,2G,44,2GA,60.5,-63.25,GA
44,2G,45,2GA,60.5,-63.171875,GA
45,2G,46,2GA,60.5,-63.09375,GA
46,2G,47,2GA,60.5,-63.015625,GA
47,2G,48,2GA,60.5,-62.9375,GA
48,2G,49,2GA,60.5,-62.859375,GA
49,2G,50,2GA,60.5,-62.78125,GA
50,2G,51,2GA,60.5,-62.703125,GA
51,2G,52,2GA,60.5,-62.625,GA
52,2G,53,2GA,60.5,-62.546875,GA
53,2G,54,2GA,60.5,-62.46875,GA
54,2G,55,2GA,60.5,-62.390625,GA
55,2G,56,2GA,60.5,-62.3125,GA
56,2G,57,2GA,60.5,-62.234375,GA
57,2G,58,2GA,60.5,-62.15625,GA
