SpeciesCode,CommonName,Phylum,SpeciesClass,SpeciesOrder,SpeciesFamily,SpeciesSubFamily,GenusSpecies,SpeciesCategory
12,"Hagfish, Atlantic",Chordata,Agnatha (Mixini),Myxiniformes,Myxinidae,,Myxine glutinosa,
15,"Lamprey, Sea",Chordata,Agnatha (Cephalaspidomorphi),Petromyzontiformes,Petromyzontidae,,Petromyzon marinus,
17,Shark (NS),Chordata,Chondrichthyes,,,,,
20,"Shark,Greenland",Chordata,Chondrichthyes,Squaliformes,Somnosidae,,Somniosus microcephalus,
23,"Shark,Dogfish (NS)",Chordata,Chondrichthyes,Squaliformes,Squalidae,,,
24,"Shark,Spiny Dogfish",Chordata,Chondrichthyes,Squaliformes,Squalidae,,Squalus acanthias,
27,"Shark,Black Dogfish",Chordata,Chondrichthyes,Squaliformes,Squalidae,,Centroscyllium fabricii,
28,"Shark,Portuguese",Chordata,Chondrichthyes,Squaliformes,Squalidae,,Centroscymnus coelolepis,
45,"Shark,Thresher",Chordata,Chondrichthyes,Lamniformes,Alopiidae,,Alopias vulpinus,
48,"Shark,Basking",Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,,Cetorhinus maximus,
50,"Sharks,Mackerel (NS)",Chordata,Chondrichthyes,Lamniformes,Lamnidae,,,
51,"Shark,Porbeagle",Chordata,Chondrichthyes,Lamniformes,Lamnidae,,Lamna nasus,
52,"Shark,Mako (Shortfin)",Chordata,Chondrichthyes,Lamniformes,Lamnidae,,Isurus oxyrinchus,
53,"Shark,White",Chordata,Chondrichthyes,Lamniformes,Lamnidae,,Carcharodon carcharias,
56,"Shark,Deepsea Cat",Chordata,Chondrichthyes,Carcharhioniformes,Scyliorhinidae,,Apristurus profundorum,
60,"Shark,Requiem (NS)",Chordata,Chondrichthyes,Carcharhioniformes,Carcharhinidae,,,
63,"Shark,Dusty",Chordata,Chondrichthyes,Carcharhioniformes,Carcharhinidae,,Carcharhinus obscurus,
64,"Shark,Smooth Dogfish",Chordata,Chondrichthyes,Carcharhioniformes,Carcharhinidae,,Mustelus canis,
65,"Shark,Blue",Chordata,Chondrichthyes,Carcharhioniformes,Carcharhinidae,,Prionace glauca,
70,"Shark,Hammerhead (NS)",Chordata,Chondrichthyes,Carcharhioniformes,Sphyrnidae,,,
81,Stingrays (NS),Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,,,
88,Skate (NS),Chordata,Chondrichthyes,Rajiformes,Rajidae,,,
90,"Skate,Thorny",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Amblyraja radiata,
91,"Skate,Smooth",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Malacoraja senta,
92,"Skate,Abyssal",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Rajella bathyphila,
94,"Skate,Round",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Rajella fyllae,
95,"Skate,Arctic",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Amblyraja hyperborea,
96,"Skate,Jensen's",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Amblyraja jenseni,
97,"Skate,Barndoor",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Dipturus laevis,
99,"Skate,Soft",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Malacoraja spinacidermis,
100,"Skate,Winter (Eyed)",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Leucoraja ocellata,
101,"Skate,Richardson's (Deepwater)",Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,,Bathyraja richardsoni,
102,"Skate,Spinytail",Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,,Bathyraja spinicauda,
107,"Skate,Bigelow's (Chocolate)",Chordata,Chondrichthyes,Rajiformes,Rajidae,,Rajella bigelowi,
