VariablesID,VariablesType,NameRangeVariables,LowerRangeLimitValue,UpperRangeLimitValue,QCNullValue
0,CalenderVariable,Year,1984,,Yes
1,CalenderVariable,Month,1,12,Yes
2,CalenderVariable,HaulMonth,1,12,Yes
3,CalenderVariable,Day,1,31,Yes
4,CalenderVariable,HaulDay,1,31,Yes
5,PositionalVariable,PositionPrecision,1,2,Yes
6,PositionalVariable,StartLatitude,3900,7500,Yes
7,PositionalVariable,StartLongitude,4200,7500,Yes
8,PositionalVariable,EndLatitude,3900,7500,Yes
9,PositionalVariable,EndLongitude,4200,7500,Yes
10,PositionalVariable,InOut200MileLimit,1,2,Yes
11,GearVariable,RollerBobbbinDiameter,20,95,No
12,GearVariable,NumberGillnets,0,650,No
13,GearVariable,AverageGillnetLength,30,100,No
14,GearVariable,GrateBarSpacing,17,50,No
15,GearVariable,NumberPots,0,350,No
16,GearVariable,NumberPotReleasedCrab,0,350,No
17,CatchVariable,AverageTowSpeed,0,5,No
18,CatchVariable,RecordType,1,2,Yes
19,CatchVariable,KeptWeight,0,150000,No
20,CatchVariable,DiscardWeight,0,15000,No
21,CatchVariable,NumberIndividuals,0,100,No
22,CatchVariable,NumberWindows,0,1,No
23,MiscVariable,TowDifferenceFlagging,0,20,No
24,MiscVariable,MaxTowSpeedLimit,0,12,No
25,MiscVariable,MaxTowSeparationTolerance,0,20,No
