ASOCCode,ObserverNumber,Year,DeploymentNumber,SubTripNumber,SetNumber,Country,Quota,SetType,VesselSideNumber,VesselClass,VesselLength,VesselHorsepower,Day,Month,HaulDay,HaulMonth,StartTime,Duration,PositionPrecision,StartLatitude,StartLongitude,EndLatitude,EndLongitude,NAFODivision,UnitArea,StatisticalArea,InOut200MileLimit,GearType,CodendMeshSize,MeshSizeMG,MeshSizeFG,RollerBobbbinDiameter,NumberGillnets,AverageGillnetLength,GrateBarSpacing,FootropeLength,NumberWindows,NumberHooks,NumberPots,NumberPotReleasedCrab,GearDamage,AverageTowSpeed,AverageDepth,DataSource,DirectedSpecies,NumberSpecies,RecordType,DetailedCatchSpeciesCompCode,LogbookIDNumber1,LogbookIDNumber2,SpeciesCode,KeptWeight,DiscardWeight,EstimatedWeightReleasedCrab,NumberIndividuals
79051,441,2023,6,A2,1,3,3,8,92502,1,,,28,1,29,1,1145,23,2,4803.09,5253.5,4803.24,5253.49,3L,LF,6,1,64,,,140,,,,,,,,16,,1,0,137,3,8213,2,1,Y,22217,,,,,,
79051,441,2023,6,A2,1,3,3,8,92502,1,,,28,1,29,1,1145,23,2,4803.09,5253.5,4803.24,5253.49,3L,LF,6,1,64,,,140,,,,,,,,16,,1,0,137,3,8213,2,2,Y,22217,,8213,50,1040,,
79051,441,2023,6,A2,1,3,3,8,92502,1,,,28,1,29,1,1145,23,2,4803.09,5253.5,4803.24,5253.49,3L,LF,6,1,64,,,140,,,,,,,,16,,1,0,137,3,8213,2,2,Y,22217,,8216,,1,,
79051,441,2023,9,A1,1,3,3,1,155586,3,,,7,7,11,7,830,96.1,2,4619.52,5543.11,4619.52,5541.8,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,146,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,1,3,3,1,155586,3,,,7,7,11,7,830,96.1,2,4619.52,5543.11,4619.52,5541.8,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,146,3,8213,1,2,Y,12877,,8213,785,45,,
79051,441,2023,9,A1,2,3,3,1,155586,3,,,7,7,11,7,1000,96.5,2,4619.09,5539.54,4619.09,5540.85,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,146,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,2,3,3,1,155586,3,,,7,7,11,7,1000,96.5,2,4619.09,5539.54,4619.09,5540.85,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,146,3,8213,1,2,Y,12877,,8213,785,68,,
79051,441,2023,9,A1,3,3,3,1,155586,3,,,7,7,11,7,1200,97.6,2,4622.74,5528.79,4622.71,5527.47,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,3,3,3,1,155586,3,,,7,7,11,7,1200,97.6,2,4622.74,5528.79,4622.71,5527.47,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,2,Y,12877,,8213,490,57,,
79051,441,2023,9,A1,4,3,3,1,155586,3,,,7,7,11,7,1400,97.2,2,4622.3,5528.64,4622.31,5530.02,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,4,3,3,1,155586,3,,,7,7,11,7,1400,97.2,2,4622.3,5528.64,4622.31,5530.02,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,2,Y,12877,,8213,425,57,,
79051,441,2023,9,A1,5,3,3,1,155586,3,,,7,7,11,7,1600,97.2,2,4623.3,5525.61,4623.32,5526.78,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,5,3,3,1,155586,3,,,7,7,11,7,1600,97.2,2,4623.3,5525.61,4623.32,5526.78,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,2,Y,12877,,8213,588,57,,
79051,441,2023,9,A1,6,3,3,1,155586,3,,,7,7,11,7,1800,97,2,4622.56,5525.26,4622.59,5526.44,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,6,3,3,1,155586,3,,,7,7,11,7,1800,97,2,4622.56,5525.26,4622.59,5526.44,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,2,Y,12877,,8213,523,57,,
79051,441,2023,9,A1,7,3,3,1,155586,3,,,7,7,11,7,2000,96.5,2,4621.61,5525.21,4621.61,5526.43,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,7,3,3,1,155586,3,,,7,7,11,7,2000,96.5,2,4621.61,5525.21,4621.61,5526.43,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,161,3,8213,1,2,Y,12877,,8213,490,57,,
79051,441,2023,9,A1,8,3,3,1,155586,3,,,7,7,11,7,2200,95.9,2,4621.01,5524.81,4620.95,5526.12,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A1,8,3,3,1,155586,3,,,7,7,11,7,2200,95.9,2,4621.01,5524.81,4620.95,5526.12,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,2,Y,12877,,8213,458,57,,
79051,441,2023,9,A2,9,3,3,1,155586,3,,,7,7,13,7,2330,138.3,2,4621.82,5528.92,4621.84,5530.25,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A2,9,3,3,1,155586,3,,,7,7,13,7,2330,138.3,2,4621.82,5528.92,4621.84,5530.25,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,2,Y,12877,,8213,545,45,,
79051,441,2023,9,A2,10,3,3,1,155586,3,,,8,7,13,7,130,137.9,2,4620.51,5524.83,4620.48,5526.17,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,1,Y,12877,,,,,,
79051,441,2023,9,A2,10,3,3,1,155586,3,,,8,7,13,7,130,137.9,2,4620.51,5524.83,4620.48,5526.17,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,163,3,8213,1,2,Y,12877,,8213,726,23,,
79051,441,2023,9,A2,11,3,3,1,155586,3,,,11,7,14,7,1800,53.7,2,4623.75,5527.57,4623.77,5528.73,3Ps,PF,10,1,64,,,146,,,,,,,,50,,1,0,157,3,8213,1,1,Y,12877,,,,,,
