ASOCCode,ObserverNumber,Year,DeploymentNumber,SubTripNumber,SetNumber,Country,Quota,SetType,VesselSideNumber,VesselClass,VesselLength,VesselHorsepower,Day,Month,HaulDay,HaulMonth,StartTime,Duration,PositionPrecision,StartLatitude,StartLongitude,EndLatitude,EndLongitude,NAFODivision,UnitArea,StatisticalArea,InOut200MileLimit,GearType,CodendMeshSize,MeshSizeMG,MeshSizeFG,RollerBobbbinDiameter,NumberGillnets,AverageGillnetLength,GrateBarSpacing,FootropeLength,NumberWindows,NumberHooks,NumberPots,NumberPotReleasedCrab,GearDamage,AverageTowSpeed,AverageDepth,DataSource,DirectedSpecies,NumberSpecies,RecordType,DetailedCatchSpeciesCompCode,LogbookIDNumber1,LogbookIDNumber2,SpeciesCode,KeptWeight,DiscardWeight,EstimatedWeightReleasedCrab,NumberIndividuals
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,1,Y,25039,,,,,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,90,,2,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,272,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,316,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,431,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,451,,2,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,474,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,700,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,709,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,725,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,792,,15,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,813,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,836,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,889,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,892,,5,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,1101,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,8020,,1,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,8111,2518,13,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,8112,10073,51,,
79052,974,2023,1,A1,1,3,3,1,134752,7,,,8,1,8,1,2225,1.5,2,5817.74,5953.07,5820.97,5956.33,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,271,3,8111,19,2,Y,25039,,8390,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,1,Y,25039,,,,,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,90,,10,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,272,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,316,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,451,,5,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,474,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,700,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,709,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,725,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,792,,60,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,810,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,813,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,836,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,853,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,889,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,892,,10,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,1101,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,2040,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,8020,,1,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,8111,7235,40,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,8112,6955,35,,
79052,974,2023,1,A1,2,3,3,1,134752,7,,,9,1,9,1,340,2,2,5817.33,5952.37,5821.08,5956.99,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,280,3,8111,21,2,Y,25039,,8390,,1,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,1,Y,25039,,,,,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,90,,15,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,272,,1,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,316,,1,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,438,,20,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,439,,1,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,453,,1,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,709,,1,,
79052,974,2023,1,A1,3,3,3,1,134752,7,,,9,1,9,1,840,3,2,5817.03,5953.01,5824.39,5958.05,2G,GF,,1,17,45,50,,,,,22,74,0,,,,1,2.6,274,3,8111,20,2,Y,25039,,725,,1,,
